,yr_built,bedrooms,sqft_living,price
136,1942,3.0,1800,618500.0
137,1977,4.0,2010,487585.0
138,2010,3.0,1790,509900.0
139,2014,4.0,2440,631625.0
140,2009,3.0,1940,555000.0
141,2001,2.0,1160,340000.0
142,2007,4.0,3400,830000.0
143,2006,4.0,4420,890000.0
144,2008,3.0,1571,366750.0
145,2010,3.0,1620,415000.0
146,2005,3.0,1408,416286.0
147,2007,3.0,3040,478000.0
148,2006,5.0,4490,890000.0
149,2014,2.0,1590,419190.0
150,2013,4.0,2450,712198.0
151,1971,4.0,1440,397000.0
152,1912,2.0,1100,450000.0
153,1947,3.0,1350,353000.0
154,1985,4.0,2150,609000.0
155,1975,3.0,1490,234000.0
156,1916,3.0,2000,561000.0
157,1924,2.0,1030,469000.0
158,1942,2.0,720,329350.0
159,1938,5.0,2020,488000.0
160,1962,3.0,1580,279900.0
161,1987,4.0,2110,606000.0
162,1950,4.0,1300,312000.0
163,1940,3.0,1630,650000.0
164,1970,4.0,3370,1135000.0
165,1980,4.0,1890,325000.0
166,1967,4.0,1520,425000.0
167,1952,2.0,900,219000.0
168,1954,3.0,1050,250000.0
169,1966,3.0,1260,390000.0
170,1924,6.0,3470,475000.0
171,1988,4.0,2290,736000.0
172,1958,4.0,2810,407000.0
173,1998,3.0,1650,272000.0
174,1963,3.0,1640,362000.0
175,1991,3.0,1850,535000.0
176,2003,4.0,2000,284000.0
177,1961,3.0,1410,367500.0
178,1955,4.0,1500,379900.0
179,1980,3.0,2460,520000.0
180,1954,3.0,1010,175000.0
181,2004,2.0,1230,460000.0
182,2007,4.0,2331,345000.0
183,1978,5.0,2240,455000.0
184,1967,4.0,2450,610000.0
185,1996,4.0,3100,563000.0
186,1949,4.0,2060,612500.0
187,1979,3.0,1850,218000.0
188,1958,4.0,1840,404000.0
189,2000,4.0,3740,860000.0
190,1962,3.0,1420,136500.0
191,1940,3.0,1510,313950.0
192,1954,3.0,2130,575000.0
193,1928,4.0,3490,1225000.0
194,1971,3.0,1630,280000.0
195,1989,3.0,1790,515000.0
196,1996,4.0,2000,513000.0
197,1977,4.0,2260,599000.0
198,1999,4.0,3030,685000.0
199,1950,3.0,1310,365000.0
200,1987,4.0,3880,762300.0
201,1950,4.0,3760,1580000.0
202,1984,5.0,3040,562000.0
203,1964,5.0,2910,530000.0
204,1995,3.0,2970,525000.0
205,1942,2.0,1660,484000.0
206,1998,4.0,3200,725126.0
207,1965,4.0,2680,360000.0
208,1962,3.0,1230,387000.0
209,1995,4.0,2740,483500.0
210,2000,4.0,3380,655500.0
211,1956,3.0,1110,345000.0
212,1926,5.0,1800,533000.0
213,1982,3.0,1900,385000.0
214,1951,2.0,930,675000.0
215,1976,3.0,1690,197000.0
216,1905,3.0,1420,485000.0
217,1969,5.0,4510,1870000.0
218,1974,3.0,1980,295000.0
219,1903,2.0,1170,499000.0
220,2008,3.0,2200,1050000.0
221,1959,3.0,800,191000.0
222,2006,3.0,1480,500000.0
223,2006,5.0,2890,390000.0
224,2014,3.0,2690,979000.0
225,2013,4.0,3569,580000.0
226,2006,3.0,1270,369950.0
227,2013,5.0,4490,1800000.0
228,2008,4.0,3040,776000.0
229,2014,3.0,1170,519950.0
230,1962,5.0,2060,255000.0
231,1943,3.0,990,495000.0
232,2003,4.0,2430,510000.0
233,2001,4.0,4460,1150000.0
234,1994,3.0,1250,253000.0
235,1980,3.0,1540,503000.0
236,1993,3.0,1600,275000.0
237,1952,3.0,1110,249000.0
238,1974,3.0,1840,310000.0
239,1946,3.0,2520,750000.0
240,1995,3.0,2680,630000.0
241,1938,9.0,3830,599999.0
242,1956,4.0,2410,758000.0
243,1960,4.0,1720,248500.0
244,1973,3.0,2070,310000.0
245,1985,3.0,1760,460000.0
246,1959,3.0,1680,675000.0
247,1900,2.0,1550,526000.0
248,1994,3.0,4120,560000.0
249,1991,4.0,1830,415000.0
250,1944,3.0,1400,246000.0
251,1957,3.0,1870,314500.0
252,1910,7.0,6210,3200000.0
253,1904,2.0,1040,420000.0
254,1988,3.0,2720,535000.0
255,1981,3.0,1010,350000.0
256,1967,3.0,1580,515000.0
257,1949,4.0,2600,749950.0
258,1988,3.0,1920,230000.0
259,1929,3.0,2350,568000.0
260,1947,1.0,1100,250000.0
261,1961,4.0,2510,581000.0
262,1991,3.0,3240,651000.0
263,1977,3.0,2460,600000.0
264,1906,2.0,1010,500000.0
265,1921,2.0,820,475000.0
266,1978,5.0,2420,352000.0
267,1977,3.0,1770,420000.0
268,2003,2.0,1350,428000.0
269,1920,3.0,1960,599000.0
270,1922,4.0,3305,492000.0
271,2011,2.0,2550,630000.0
272,1985,5.0,4130,900000.0
273,1950,4.0,2310,1110000.0
274,1955,4.0,1650,575000.0
275,1905,4.0,2650,705000.0
276,1963,4.0,1890,940000.0
277,1967,3.0,2190,313000.0
278,1988,3.0,2030,618080.0
279,2002,3.0,2270,640000.0
280,1917,3.0,1610,485000.0
281,1913,2.0,760,300000.0
282,1978,2.0,1640,379500.0
283,1985,3.0,1630,339950.0
284,1914,6.0,3560,1500000.0
285,1937,3.0,2960,1340000.0
286,1987,3.0,1940,500000.0
287,1985,3.0,1410,239900.0
288,1968,3.0,1040,314950.0
289,1944,2.0,820,361280.0
290,1956,2.0,910,100000.0
291,1948,7.0,3700,540000.0
292,1968,4.0,2180,480500.0
293,2000,3.0,1600,280000.0
294,1947,3.0,1500,440000.0
295,1910,3.0,1340,530000.0
296,1985,3.0,1860,560000.0
297,1905,3.0,2540,775000.0
298,1912,2.0,1040,160000.0
299,1960,3.0,1380,209950.0
300,1988,3.0,1640,226500.0
301,1958,5.0,3000,380000.0
302,1968,4.0,2140,409500.0
303,1942,3.0,1760,690000.0
304,1961,3.0,1660,405000.0
305,1990,3.0,1830,375000.0
306,1954,4.0,2210,794154.0
307,1969,4.0,1490,185000.0
308,2005,3.0,1260,245000.0
309,2007,5.0,4270,1532500.0
310,2006,4.0,3900,1040000.0
311,2008,2.0,1150,425000.0
312,2014,4.0,2656,495000.0
313,2008,5.0,2410,365000.0
314,2009,3.0,1606,417250.0
315,2006,2.0,820,339950.0
316,1946,2.0,1540,615000.0
317,2012,3.0,2090,403000.0
318,1971,5.0,3160,980000.0
319,1977,4.0,1730,258000.0
320,1967,3.0,1670,533000.0
321,2005,4.0,2550,537500.0
322,1968,5.0,3040,830000.0
323,1900,3.0,1250,712000.0
324,2002,4.0,2020,262000.0
325,2003,4.0,2660,753888.0
326,1922,2.0,980,134000.0
327,1977,3.0,1960,402000.0
328,1955,2.0,720,205000.0
329,1997,2.0,1360,553650.0
330,2006,2.0,1870,559950.0
331,1962,4.0,2130,260000.0
332,1994,4.0,1810,270000.0
333,1973,2.0,2200,295000.0
334,1928,3.0,1690,719000.0
335,1989,3.0,1940,266000.0
336,2004,4.0,2320,325900.0
337,1947,4.0,2060,647500.0
338,1910,4.0,3410,1039000.0
339,1980,4.0,2250,569000.0
340,1975,3.0,1390,246000.0
341,1926,2.0,1060,515000.0
342,1954,3.0,1490,207000.0
343,1950,4.0,2480,780000.0
344,1975,5.0,2440,489990.0
345,1980,3.0,2240,335000.0
346,1993,3.0,1920,295000.0
347,1944,3.0,1890,385000.0
348,1940,4.0,2250,350000.0
349,1923,2.0,1270,235000.0
350,1993,2.0,960,358000.0
351,2002,4.0,3290,716500.0
352,1965,4.0,2000,228000.0
353,1948,2.0,1020,405000.0
354,1967,4.0,1840,538000.0
355,1973,3.0,1980,530000.0
356,1906,6.0,3510,1750000.0
357,1925,2.0,1230,636000.0
358,2004,4.0,2280,535000.0
359,1952,3.0,2430,1500000.0
360,2008,3.0,2920,868500.0
361,1930,4.0,2280,530000.0
362,1954,3.0,1510,450000.0
363,1939,3.0,950,230000.0
364,2002,3.0,1190,229000.0
365,1976,3.0,1310,437000.0
366,1932,5.0,2800,1307000.0
367,1991,3.0,1750,595000.0
368,1918,3.0,1320,660000.0
369,1989,4.0,2460,347500.0
370,1967,3.0,1240,297950.0
371,1955,3.0,1260,245000.0
372,1940,6.0,2820,543200.0
373,1990,4.0,3820,1250000.0
374,2008,3.0,1540,413450.0
375,1972,2.0,1550,330000.0
376,1979,3.0,1460,424500.0
377,1960,3.0,1390,230000.0
378,1912,3.0,2640,930000.0
379,1988,3.0,1590,349000.0
380,1941,4.0,1910,835000.0
381,2007,3.0,2015,988500.0
382,2012,3.0,1410,500000.0
383,2005,2.0,1110,499000.0
384,2007,2.0,860,321950.0
385,2011,3.0,2310,494000.0
386,2008,2.0,1020,441750.0
387,2010,2.0,980,438000.0
388,1989,4.0,4230,985000.0
389,1972,3.0,1640,352000.0
390,2013,4.0,3810,839900.0
391,1996,4.0,2790,765000.0
392,1926,4.0,1750,460000.0
393,1983,4.0,1430,224500.0
394,2003,3.0,1850,254000.0
395,1984,2.0,960,255000.0
396,1976,3.0,2480,610000.0
397,1976,4.0,3750,920000.0
398,1988,4.0,2600,402500.0
399,1912,3.0,1390,280950.0
400,1989,4.0,2260,604000.0
401,1984,4.0,2470,565000.0
402,1928,2.0,810,255000.0
403,1959,4.0,1650,445000.0
404,2001,3.0,3000,2400000.0
405,1950,2.0,720,195000.0
406,1922,3.0,1390,275000.0
407,2003,3.0,1445,387000.0
408,1910,2.0,1840,490000.0
409,1999,3.0,2100,505000.0
410,1973,3.0,1060,303500.0
411,1953,3.0,1500,270000.0
412,1977,4.0,1970,323000.0
413,2005,3.0,1410,382000.0
414,1962,4.0,3720,1370000.0
415,1977,4.0,2190,280000.0
416,1969,3.0,1920,260000.0
417,1959,3.0,1160,201500.0
418,1996,4.0,5860,1157200.0
419,1926,4.0,2000,536500.0
420,2006,4.0,2163,248000.0
421,1976,5.0,3480,532000.0
422,1998,4.0,2840,580000.0
423,1905,2.0,1150,463000.0
424,1919,4.0,3100,742500.0
425,1963,3.0,1420,260000.0
426,1993,4.0,2430,590000.0
427,1984,4.0,1930,312000.0
428,1980,3.0,1660,566000.0
429,1963,3.0,1400,511555.0
430,2001,4.0,2660,583000.0
431,1968,4.0,2000,290000.0
432,1977,4.0,2130,311100.0
433,2007,3.0,1352,325000.0
434,1987,3.0,1750,491300.0
435,1956,5.0,2320,315000.0
436,1956,2.0,1420,360000.0
437,2003,4.0,1940,330000.0
438,1940,3.0,1410,481450.0
439,1977,3.0,1360,234950.0
440,1962,3.0,1220,251000.0
441,1979,4.0,2830,782000.0
442,1999,4.0,3780,833000.0
443,1978,4.0,2330,542500.0
444,1987,3.0,3560,851000.0
445,1976,4.0,1470,325000.0
446,1992,4.0,3060,415000.0
447,1947,3.0,1030,252500.0
448,1968,4.0,1930,465000.0
449,1979,3.0,1780,336900.0
450,1992,3.0,2000,225000.0
451,1969,3.0,1690,270000.0
452,1987,5.0,5190,1702500.0
453,1925,3.0,1300,536000.0
454,1982,4.0,2400,585000.0
455,1940,2.0,1150,445000.0
456,1980,4.0,2310,320000.0
457,2006,4.0,2730,769900.0
458,2012,4.0,2840,557000.0
459,2004,2.0,1020,212000.0
460,2008,3.0,1340,376000.0
461,2007,4.0,3540,800000.0
462,2010,5.0,7270,2238888.0
463,2007,3.0,998,324000.0
464,1979,5.0,3060,549900.0
465,2003,3.0,2130,320000.0
466,1921,4.0,2520,875000.0
467,1962,4.0,1940,265000.0
468,2006,3.0,1350,394950.0
469,1902,4.0,2160,842500.0
470,2007,3.0,1370,368000.0
471,2001,4.0,5420,1225000.0
472,1995,4.0,2830,885000.0
473,2014,3.0,2010,453246.0
474,1953,4.0,3300,927000.0
475,2004,2.0,1230,490000.0
476,1952,3.0,1720,341000.0
477,1941,1.0,810,235000.0
478,1928,3.0,1560,1200000.0
479,1986,3.0,2560,560000.0
480,1978,4.0,4700,900000.0
481,1910,2.0,1220,255000.0
482,1975,5.0,3650,1575000.0
483,1928,3.0,2170,876650.0
484,1990,4.0,2540,540000.0
485,1906,2.0,910,350000.0
486,2000,4.0,2980,750000.0
487,1951,4.0,2120,582000.0
488,2004,4.0,3460,1315000.0
489,2004,5.0,2480,372500.0
490,1987,3.0,2200,410000.0
491,1943,4.0,1730,360000.0
492,1954,3.0,2920,1015000.0
493,1966,3.0,990,225000.0
494,1999,4.0,3040,647000.0
495,2003,5.0,4530,950000.0
496,1961,3.0,1370,185000.0
497,2004,3.0,1940,335000.0
498,2004,3.0,1040,210000.0
499,1980,4.0,1800,522000.0
500,1954,3.0,1720,770000.0
501,1941,3.0,980,499950.0
502,2004,4.0,3110,751000.0
503,2013,5.0,2100,330000.0
504,1956,3.0,2020,465000.0
505,1961,4.0,2350,850000.0
506,1968,4.0,3290,947500.0
507,1986,5.0,2180,302000.0
508,2007,2.0,1290,500000.0
509,1969,3.0,1460,201000.0
510,2008,2.0,1290,265000.0
511,1910,4.0,2350,870300.0
512,1955,3.0,1080,339000.0
513,1989,4.0,2670,690000.0
514,2003,4.0,3680,788000.0
515,1951,3.0,1440,315275.0
516,1922,4.0,1940,505000.0
517,1968,3.0,1280,368000.0
518,1917,3.0,2980,947500.0
519,1959,3.0,970,156000.0
520,1930,4.0,2110,610000.0
521,2009,2.0,1480,420000.0
522,1953,2.0,700,192000.0
523,1962,3.0,2700,910000.0
524,1918,4.0,2330,1300000.0
525,1963,5.0,3380,1346400.0
526,1936,4.0,2600,840000.0
527,1975,2.0,1360,300000.0
528,1978,4.0,2780,505000.0
529,1945,3.0,1250,110000.0
530,1992,3.0,2620,746000.0
531,1941,3.0,1350,211000.0
532,1964,4.0,2400,675000.0
533,1928,4.0,2760,734200.0
534,1976,4.0,3070,1225000.0
535,1919,2.0,2040,615000.0
536,1911,4.0,1770,630000.0
537,2012,4.0,3490,1264000.0
538,2005,2.0,830,301500.0
539,2009,2.0,980,369000.0
540,2010,3.0,1570,635000.0
541,2014,4.0,3270,1033888.0
542,2010,4.0,2160,383000.0
543,2008,4.0,3280,1050000.0
544,2001,4.0,3360,455000.0
545,2013,5.0,3150,819900.0
546,2009,3.0,1810,625000.0
547,1993,4.0,2740,651000.0
548,1976,5.0,3830,480000.0
549,2007,3.0,3190,757000.0
550,1977,3.0,2350,460000.0
551,1972,4.0,2510,267345.0
552,2006,2.0,1680,530000.0
553,1954,3.0,1770,449500.0
554,1981,3.0,1090,289000.0
555,2006,5.0,3001,373000.0
556,1994,5.0,2450,525000.0
557,2003,3.0,3610,777000.0
558,1956,4.0,2250,550000.0
559,1957,3.0,1240,523000.0
560,1958,4.0,2260,628000.0
561,1963,4.0,2090,581000.0
562,1962,5.0,2020,245000.0
563,1911,3.0,1960,415000.0
564,1969,5.0,3120,1895000.0
565,1967,3.0,1250,225000.0
566,1987,3.0,1490,287000.0
567,1906,6.0,2890,799200.0
568,1942,3.0,1900,239950.0
569,1922,3.0,1680,591000.0
570,1975,3.0,2030,700000.0
571,2004,4.0,3740,475000.0
572,1951,3.0,1580,575000.0
573,1927,3.0,1780,771000.0
574,1943,2.0,910,155000.0
575,1970,7.0,3440,550000.0
576,1975,3.0,1740,645000.0
577,1959,5.0,3400,464000.0
578,2003,4.0,4400,1050000.0
579,1977,3.0,2010,350000.0
580,1977,4.0,2710,591000.0
581,1923,4.0,5300,2555000.0
582,1956,3.0,1310,717000.0
583,1939,4.0,1950,225000.0
584,1947,3.0,1040,225000.0
585,1968,3.0,1090,345000.0
586,1931,2.0,650,230000.0
587,1943,3.0,1480,385000.0
588,1973,2.0,790,90000.0
589,1986,4.0,3560,860000.0
590,2006,4.0,3000,675000.0
591,2000,4.0,3490,975000.0
592,1967,3.0,2340,780000.0
593,1951,3.0,1650,370000.0
594,1944,3.0,1940,665000.0
595,1968,5.0,3410,675000.0
596,1909,3.0,1710,620000.0
597,1905,4.0,2740,1105000.0
598,2010,3.0,1250,450000.0
599,1978,3.0,2450,450000.0
600,1958,3.0,1690,530000.0
601,1969,4.0,1950,635000.0
602,1964,5.0,2290,580000.0
603,1982,5.0,3370,1550000.0
604,1973,3.0,1090,285000.0
605,1953,3.0,1190,375000.0
606,2001,5.0,3530,1400000.0
607,1910,3.0,1440,560000.0
608,1956,4.0,2180,405000.0
609,1925,4.0,1410,413000.0
610,1990,3.0,1950,287600.0
611,1989,5.0,4860,1680000.0
612,1963,3.0,1660,225000.0
613,1968,3.0,1390,319000.0
614,1989,3.0,1350,322500.0
615,1937,3.0,1530,570000.0
616,1950,3.0,1270,465000.0
617,2002,4.0,2140,435000.0
618,2012,4.0,2040,502000.0
619,2007,3.0,2876,525000.0
620,2008,3.0,1580,525000.0
621,2012,4.0,3400,660000.0
622,2006,4.0,3520,870000.0
623,2013,4.0,2210,650000.0
624,2009,4.0,2790,505000.0
625,2007,3.0,1450,330000.0
626,1947,4.0,1620,385000.0
627,2007,3.0,1220,306000.0
628,1921,3.0,2000,546000.0
629,1958,4.0,2190,925000.0
630,1955,4.0,1900,542000.0
631,1906,3.0,1700,800000.0
632,1929,5.0,2540,620000.0
633,1911,2.0,1170,175000.0
634,1984,5.0,5774,740000.0
635,1984,3.0,2120,345000.0
636,1986,3.0,2170,510000.0
637,1974,4.0,2450,530000.0
638,1952,2.0,700,155000.0
639,1986,3.0,1780,266000.0
640,1952,3.0,1850,257200.0
641,1998,3.0,1570,265000.0
642,1951,3.0,1290,372220.0
643,1956,5.0,1700,337500.0
644,1948,2.0,1159,582500.0
645,1965,3.0,1850,489200.0
646,1947,2.0,840,405100.0
647,2014,3.0,1690,372977.0
648,1953,3.0,1050,310000.0
649,1904,3.0,1400,538000.0
650,1981,3.0,2550,1400000.0
651,2012,3.0,1840,317000.0
652,1926,3.0,2360,702500.0
653,1989,4.0,2240,565000.0
654,2004,4.0,2700,723000.0
655,1992,3.0,3030,766950.0
656,1903,3.0,1830,682000.0
657,1990,3.0,2220,325000.0
658,1962,3.0,2090,543000.0
659,1924,3.0,1600,525000.0
660,1957,4.0,2010,364000.0
661,1955,2.0,830,394475.0
662,1995,4.0,2010,316000.0
663,1906,3.0,1050,339950.0
664,1978,4.0,2150,486000.0
665,1963,3.0,860,160000.0
666,1954,3.0,3100,930000.0
667,1978,3.0,1100,139000.0
668,1957,3.0,1830,562000.0
669,1950,2.0,1250,299000.0
670,2005,3.0,1820,511000.0
671,1959,3.0,2090,499000.0
672,1980,3.0,2100,356000.0
673,1991,4.0,2310,470000.0
674,1941,4.0,2060,715000.0
675,1988,4.0,4470,1120000.0
676,1940,3.0,1660,458000.0
677,2008,5.0,3810,966000.0
678,1966,3.0,2110,305495.0
679,1992,2.0,2370,543000.0
680,1997,3.0,1970,340000.0
681,1993,4.0,2470,633100.0
682,1952,3.0,1480,310000.0
683,2005,5.0,2257,349950.0
684,1949,2.0,700,267800.0
685,1975,4.0,1630,234000.0
686,2000,4.0,3430,740000.0
687,1923,5.0,2220,607500.0
688,1973,3.0,1340,223000.0
689,1918,2.0,980,400000.0
690,1986,3.0,2580,802000.0
691,2006,4.0,2230,253000.0
692,1955,4.0,2290,1058000.0
693,1946,3.0,1260,300000.0
694,1966,4.0,1680,625000.0
695,2004,4.0,3200,707000.0
696,1995,4.0,3320,950000.0
697,1999,4.0,3040,420000.0
698,1973,4.0,2270,498000.0
699,1989,3.0,2910,450000.0
700,1972,5.0,2510,955000.0
701,1967,2.0,1240,215000.0
702,2008,3.0,2580,437000.0
703,2007,3.0,2470,773000.0
704,2007,4.0,4910,1222500.0
705,2003,3.0,1690,256883.0
706,1983,4.0,2240,592500.0
707,1979,3.0,1650,252350.0
708,1998,4.0,2710,370000.0
709,1959,3.0,1260,465750.0
710,1932,3.0,1150,185000.0
711,1986,4.0,2550,582800.0
712,1990,3.0,1490,245000.0
713,1963,4.0,2020,302000.0
714,1912,2.0,1320,451555.0
715,1957,3.0,1230,250000.0
716,1989,4.0,2070,255000.0
717,1947,4.0,2930,840000.0
718,1967,3.0,1090,190000.0
719,1957,3.0,1400,349950.0
720,1909,4.0,1550,613000.0
721,1955,3.0,1220,300000.0
722,1980,3.0,1870,455000.0
723,1991,3.0,2150,335000.0
724,1903,3.0,980,197500.0
725,1963,3.0,1490,412500.0
726,1955,3.0,1120,395300.0
727,1986,3.0,1180,342400.0
728,1985,4.0,3240,749400.0
729,1991,4.0,2150,316500.0
730,1996,3.0,2240,390000.0
731,1979,3.0,1400,225000.0
732,1980,3.0,1980,550000.0
733,1959,3.0,1330,280000.0
734,2006,4.0,3200,1255000.0
735,1946,2.0,1490,575000.0
736,1990,5.0,3920,1000000.0
737,1921,5.0,2000,585000.0
738,1989,4.0,2680,620000.0
739,1967,4.0,1670,204700.0
740,2001,4.0,3150,695000.0
741,2003,4.0,2740,689900.0
742,1960,4.0,1890,375000.0
743,1961,7.0,2870,475000.0
744,1969,3.0,1160,215000.0
745,1962,4.0,3550,2100000.0
746,1940,3.0,1790,790000.0
747,1940,3.0,1680,350000.0
748,1986,3.0,4560,695000.0
749,1991,3.0,1590,263000.0
750,1953,3.0,1630,400000.0
751,1991,3.0,2700,525000.0
752,1994,3.0,1700,349950.0
753,1988,4.0,3740,1085000.0
754,1941,4.0,1980,744000.0
755,1919,2.0,880,312500.0
756,1948,3.0,1400,240000.0
757,1941,4.0,2050,495000.0
758,1996,3.0,2360,580050.0
759,1947,4.0,2560,640000.0
760,1956,3.0,1340,417000.0
761,1970,3.0,1060,174950.0
762,1986,3.0,850,295000.0
763,1976,4.0,1880,423000.0
764,1955,3.0,1230,839000.0
765,1960,4.0,2290,343000.0
766,1946,3.0,1660,467000.0
767,1997,3.0,1840,512500.0
768,1979,4.0,3020,575000.0
769,1924,3.0,1410,465000.0
770,1969,3.0,1010,270000.0
771,1948,3.0,1960,340000.0
772,1999,5.0,3580,765000.0
773,1995,4.0,2240,497000.0
774,2004,4.0,3310,803100.0
775,2007,3.0,1232,344000.0
776,2013,4.0,3930,828950.0
777,2010,3.0,1720,386380.0
778,2009,3.0,1490,312000.0
779,2007,3.0,3150,720000.0
780,2013,4.0,3950,914500.0
781,2013,5.0,3030,819995.0
782,1985,2.0,1070,252700.0
783,1992,3.0,2320,437500.0
784,1942,1.0,700,350000.0
785,2005,3.0,2720,619000.0
786,1990,3.0,1800,408200.0
787,1926,3.0,1560,451000.0
788,1977,3.0,1760,317000.0
789,2005,4.0,3120,799000.0
790,1947,2.0,2020,720000.0
791,1900,3.0,1450,490000.0
792,1979,4.0,1860,239900.0
793,1977,4.0,2270,446000.0
794,1987,3.0,1480,275000.0
795,1941,5.0,1460,239950.0
796,1986,4.0,1850,248000.0
797,2003,3.0,2170,619500.0
798,1982,3.0,1726,363750.0
799,1981,3.0,1180,385000.0
800,1972,4.0,1370,370000.0
801,1988,3.0,2670,425000.0
802,1944,3.0,1260,342000.0
803,1962,4.0,1980,345000.0
804,1926,3.0,2050,724800.0
805,2006,5.0,2830,725000.0
806,1909,2.0,910,605000.0
807,2009,4.0,2440,350000.0
808,1904,3.0,2180,785000.0
809,1966,3.0,1900,250000.0
810,2013,3.0,1520,565000.0
811,1947,3.0,2220,875000.0
812,1996,4.0,3280,862500.0
813,1973,3.0,2740,400000.0
814,1954,2.0,830,282613.0
815,1955,2.0,1010,174500.0
816,1978,3.0,2060,306500.0
817,1984,3.0,1990,445000.0
818,2001,4.0,2280,433000.0
819,2005,3.0,1870,306000.0
